lipophil	trans_lipophil_1_fibre	trans_lipophil_1_gland	trans_lipophil_1_epithelia	unknown_1	unknown_2.1	unknown_2.2	unknown_2.3	unknown_2.4	fibre	trans_fibre_gland	trans_fibre_epithelia	gland_1	epithelia_gland_like	epithelia_unknown_1	epithelia_ventral	trans_epithelia_ventral_peptidergic	trans_epithelia_dorsal_ventral	epithelia_dorsal_like	epithelia_dorsal	peptidergic_progenitors	peptidergic_alpha	peptidergic_beta	peptidergic_gamma	peptidergic_gamma_like	peptidergic_delta	peptidergic_epsilon	peptidergic_zeta	peptidergic_eta	peptidergic_theta	peptidergic_iota	peptidergic_iota_like	peptidergic_kappa	peptidergic_lambda	peptidergic_mu	peptidergic_mu_like	peptidergic_nu	peptidergic_omicron
TrH2_TrispH2_005264	42	1	2	2	3	0	5	2	9	38	0	0	35	11	0	29	1	2	8	12	0	2	4	0	0	2	0	0	0	0	2	1	3	0	0	0	0	1
TrH2_TrispH2_005266	52	2	1	1	12	3	6	6	17	46	1	0	56	21	2	48	0	11	11	25	2	4	3	2	0	4	0	2	5	1	3	8	5	1	2	2	1	3
TrH2_TrispH2_005267	74	2	2	0	3	4	9	4	13	104	1	4	52	22	0	62	1	8	32	27	4	3	6	1	3	4	2	3	4	3	4	3	2	2	0	3	3	1
TrH2_TrispH2_005268	83	2	6	2	19	3	9	7	17	75	2	6	62	40	1	77	2	3	25	48	5	7	8	3	0	1	1	2	5	2	4	4	9	1	3	3	3	0
TrH2_TrispH2_005269	22	2	0	0	2	0	1	0	1	24	1	0	4	4	0	15	0	5	6	5	0	0	0	0	1	0	0	0	1	0	1	0	2	0	0	0	0	0
TrH2_orphan_577	4	0	0	0	0	0	1	0	0	3	0	0	3	1	0	1	0	0	0	4	0	0	1	0	0	0	2	0	0	1	0	0	0	0	1	0	0	0
TrH2_TrispH2_005271	24	1	0	0	1	1	1	1	3	28	0	3	17	3	0	10	1	5	4	6	0	0	0	0	0	2	0	0	2	0	1	0	1	0	0	0	1	1
TrH2_TrispH2_005274	87	2	4	1	19	1	15	5	30	80	1	1	66	16	3	85	2	8	29	44	5	8	14	2	2	3	0	2	6	2	9	3	5	1	3	0	0	2
TrH2_orphan_578	9	0	2	0	0	0	0	1	1	7	0	0	5	2	0	4	0	0	4	2	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2
TrH2_TrispH2_005276	212	4	6	2	36	8	21	20	51	165	5	2	176	59	5	144	9	30	54	100	14	23	9	8	0	11	6	6	22	3	16	15	10	10	11	8	6	3
TrH2_orphan_579	2	0	0	0	1	0	2	0	1	3	0	0	2	2	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0
TrH2_TrispH2_005279	81	0	3	4	8	12	12	0	13	44	0	1	57	12	3	45	6	4	6	35	6	5	1	2	4	6	9	1	6	1	4	0	1	0	0	1	1	1
TrH2_TrispH2_005280	445	12	31	11	70	29	54	27	72	363	10	4	317	123	4	342	9	36	162	172	19	34	20	11	5	18	13	9	30	13	35	14	32	12	16	16	1	9
TrH2_TrispH2_005282	486	21	27	7	84	27	65	17	79	661	7	38	370	125	2	387	11	79	277	203	17	37	27	21	3	20	10	20	35	11	41	17	33	10	18	18	8	4
TrH2_TrispH2_005214	22	0	0	0	1	0	1	3	4	16	0	0	7	6	0	23	0	1	6	7	2	3	0	1	0	0	0	0	0	1	5	0	1	0	0	2	4	0
TrH2_TrispH2_005217	52	0	1	1	4	1	5	2	11	58	1	2	30	13	0	34	0	4	19	17	2	4	1	2	0	3	1	3	0	2	3	1	3	3	1	0	0	2
TrH2_TrispH2_005221	63	4	3	1	11	4	8	2	4	71	0	3	41	15	1	51	3	5	26	23	2	5	2	0	1	1	0	3	2	3	9	0	3	3	3	3	3	2
TrH2_TrispH2_005223	270	6	8	4	38	8	24	12	38	235	5	6	218	63	1	183	2	23	75	117	9	27	21	15	7	12	6	6	18	6	17	5	14	6	8	7	4	3
TrH2_TrispH2_005225	64	0	2	0	13	1	7	1	11	47	1	2	42	16	1	44	3	9	14	18	5	14	7	4	4	1	1	1	2	2	1	2	5	0	6	3	1	1
TrH2_TrispH2_005227	49	1	0	1	8	3	10	1	14	42	1	3	63	15	0	42	1	5	17	17	4	4	4	1	0	1	2	4	4	0	11	2	5	1	2	1	1	0
TrH2_TrispH2_005229	248	6	14	2	43	15	41	11	38	194	3	9	178	53	3	195	9	34	91	102	9	23	8	2	4	13	5	9	13	3	27	9	21	6	13	4	1	5
TrH2_orphan_581	34	0	1	2	6	3	4	3	6	20	2	1	21	14	1	18	1	10	7	11	1	2	0	0	0	2	1	0	1	2	2	3	4	2	0	3	0	0
TrH2_orphan_582	9	0	1	0	0	2	2	1	4	1	1	0	4	3	1	7	0	0	1	3	0	1	1	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0
TrH2_TrispH2_005230	277	3	9	14	49	13	34	19	56	233	6	11	232	62	3	248	8	27	98	121	13	14	9	13	8	11	8	2	17	6	15	14	16	13	10	7	0	7
TrH2_TrispH2_005231	154	8	9	3	23	10	19	8	27	178	1	5	154	44	1	140	9	20	90	71	5	16	12	7	2	13	6	6	10	2	8	13	9	2	2	4	5	0
TrH2_TrispH2_005232	123	2	5	1	15	6	9	1	23	53	0	1	67	27	4	73	1	9	20	30	8	7	6	0	0	7	4	1	6	6	14	3	7	1	3	0	3	3
TrH2_TrispH2_005233	170	1	1	16	36	2	15	9	31	94	0	2	111	42	2	116	3	5	19	48	2	10	29	3	3	4	9	1	30	1	13	6	13	4	1	1	3	0
TrH2_TrispH2_005234	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TrH2_TrispH2_005235	275	14	15	2	58	17	40	15	51	217	0	2	233	113	8	254	7	33	84	124	15	14	12	8	3	15	8	11	24	3	29	13	19	11	13	10	5	6
TrH2_TrispH2_005236	3887	106	225	63	608	197	467	171	629	3586	63	116	2933	1056	55	2862	112	425	1240	1676	116	303	226	82	54	180	105	100	263	96	340	193	244	166	116	160	72	65
TrH2_TrispH2_005238	158	3	5	6	24	9	31	5	30	134	1	3	113	42	4	138	3	13	52	71	9	11	16	3	0	9	2	1	6	1	14	8	17	2	6	4	8	3
TrH2_TrispH2_005240	6	0	0	0	0	0	0	1	1	4	0	0	2	0	0	0	1	1	2	0	0	0	1	0	0	0	0	0	1	0	1	0	0	0	0	0	0	1
TrH2_TrispH2_005241	4	0	1	0	0	0	1	0	2	5	0	0	5	1	0	8	1	2	7	3	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
TrH2_TrispH2_005242	107	2	2	1	9	3	22	4	11	119	1	5	74	26	3	81	2	20	48	31	5	10	8	2	5	5	1	2	3	0	4	2	4	8	3	5	3	1
TrH2_TrispH2_005243	30	0	0	0	4	4	2	0	3	9	0	0	20	1	2	15	3	2	0	7	0	5	2	0	0	0	1	0	2	1	0	0	0	1	0	0	0	0
TrH2_TrispH2_005244	312	8	12	6	52	12	42	5	41	337	4	13	201	70	6	226	9	51	127	125	12	21	24	13	5	11	9	7	11	12	31	14	18	12	9	10	3	6
TrH2_TrispH2_005250	1198	27	43	36	194	63	157	47	194	997	15	29	835	345	9	824	31	103	382	501	48	121	89	34	20	46	26	32	68	37	102	46	86	39	36	45	43	11
TrH2_TrispH2_005251	89	0	2	1	16	2	11	4	4	93	1	10	60	33	3	72	1	17	54	41	2	7	2	1	0	2	4	1	5	3	12	6	12	3	3	4	2	3
TrH2_orphan_583	2	0	0	0	0	0	0	0	3	5	0	0	4	1	0	2	0	0	3	2	0	0	2	0	0	0	0	0	0	1	1	0	0	1	0	0	0	1
TrH2_TrispH2_005253	995	25	35	13	157	55	108	37	179	928	10	38	742	244	11	792	29	111	291	420	38	71	68	23	12	35	29	20	62	20	111	42	57	20	34	31	29	23
TrH2_TrispH2_005254	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TrH2_TrispH2_005255	290	9	15	8	66	16	43	17	60	264	6	10	230	92	2	260	8	34	116	113	18	26	9	6	5	15	4	9	21	7	34	21	16	1	15	10	4	2
TrH2_TrispH2_005257	50	3	2	0	3	1	5	0	11	67	0	1	31	14	0	40	2	8	26	8	2	5	2	1	0	0	2	1	2	3	5	1	3	2	4	7	2	1
TrH2_TrispH2_005260	8	3	0	0	5	0	2	0	8	23	1	1	19	4	1	23	0	6	7	8	0	1	1	1	0	2	0	0	0	0	2	1	0	0	0	1	2	1
TrH2_TrispH2_005263	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TrH2_TrispH2_005265	85	0	1	0	11	3	12	4	15	58	0	1	53	10	0	49	0	2	25	39	3	7	12	1	0	1	2	1	1	1	3	3	10	0	1	2	5	5
TrH2_orphan_584	12	0	1	0	0	0	0	0	3	11	0	0	7	3	0	9	0	0	0	3	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
TrH2_TrispH2_005270	7	0	0	0	4	0	1	1	2	4	0	0	2	1	0	5	1	1	1	1	0	1	0	0	0	0	0	0	2	0	1	0	3	0	0	0	0	0
TrH2_TrispH2_005272	35	0	3	4	4	1	3	0	7	36	1	3	16	8	1	27	2	3	15	10	1	3	0	0	0	2	0	2	0	0	5	2	4	1	2	0	1	1
TrH2_TrispH2_005273	70	3	1	4	4	1	6	1	15	60	0	4	46	17	0	56	0	3	24	24	1	3	1	1	0	0	3	2	4	1	4	4	7	0	0	2	0	2
TrH2_TrispH2_005275	259	12	16	4	29	9	26	7	32	291	2	15	173	78	2	208	11	38	149	112	6	20	12	9	3	6	7	4	20	3	27	12	14	7	12	6	12	4
TrH2_TrispH2_005277	418	5	3	1	52	2	144	1	105	55	0	11	228	25	0	266	3	76	144	172	2	0	0	0	0	62	1	0	0	0	29	3	1	0	1	43	0	0
TrH2_orphan_586	21	0	0	0	2	1	6	2	3	33	0	1	25	9	0	14	2	4	3	21	0	1	0	1	0	1	2	2	0	0	5	5	1	2	1	2	1	0
TrH2_TrispH2_005281	79	2	1	4	16	5	8	3	14	72	5	3	60	22	0	62	1	7	19	31	3	4	4	1	3	3	3	1	5	0	7	2	4	0	2	2	2	2
TrH2_orphan_587	7	0	0	0	0	0	5	0	0	9	0	0	4	1	1	2	0	0	2	2	0	0	0	1	1	0	0	0	0	0	1	0	0	0	0	1	0	0
TrH2_TrispH2_004761	208	2	13	2	35	10	36	6	34	212	2	10	148	69	2	168	10	23	91	74	9	20	12	5	6	6	6	6	15	5	20	9	11	7	8	4	2	2
TrH2_TrispH2_004762	43	0	3	0	9	0	9	2	5	35	1	0	26	10	1	36	0	1	22	15	2	5	2	1	0	4	2	0	2	0	1	3	1	2	4	4	1	1
TrH2_TrispH2_004766	204	7	13	4	23	13	22	8	34	255	1	18	150	47	1	175	10	26	85	90	9	12	8	3	5	9	5	2	9	1	14	8	11	3	4	8	2	5
TrH2_TrispH2_004767	91	2	0	6	25	8	14	3	15	92	1	4	57	32	2	75	1	12	31	38	2	9	12	5	3	6	1	3	3	2	13	6	5	1	2	2	2	2
TrH2_TrispH2_004769	44	2	2	0	10	2	6	1	9	74	0	4	34	12	1	30	2	4	20	29	1	5	2	0	2	0	1	0	2	0	4	3	4	1	1	2	1	1
TrH2_TrispH2_004770	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TrH2_TrispH2_004771	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
TrH2_TrispH2_004772	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TrH2_orphan_588	0	0	0	0	0	0	0	0	0	1	0	0	3	1	0	2	0	0	0	0	1	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0
TrH2_orphan_589	0	0	1	0	0	0	2	0	2	2	1	0	0	0	0	0	0	1	2	3	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
TrH2_orphan_590	6	0	0	0	1	3	2	0	0	1	0	0	2	0	1	4	0	1	1	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	3	0
TrH2_TrispH2_004777	122	3	2	3	16	3	16	4	19	111	1	2	72	36	2	71	2	14	50	60	5	8	5	5	2	4	3	2	10	2	10	8	9	3	3	7	4	3
TrH2_TrispH2_004778	497	14	18	6	57	23	68	22	84	449	12	21	398	137	10	352	15	58	195	179	15	40	32	6	5	17	17	12	29	13	46	9	36	11	10	19	18	3
TrH2_TrispH2_004779	101	4	2	3	15	2	16	7	17	86	0	0	68	32	0	61	0	10	40	32	1	4	6	3	0	2	3	2	5	5	5	2	2	2	5	4	3	3
TrH2_orphan_591	0	0	0	0	0	0	1	0	3	2	0	0	1	0	0	0	0	0	2	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TrH2_TrispH2_004781	237	9	13	0	39	14	26	16	39	244	2	11	174	46	2	189	6	41	97	96	11	17	12	6	4	12	14	12	13	4	19	7	13	5	7	6	6	1
TrH2_TrispH2_004783	386	6	7	7	55	8	49	15	62	297	0	4	240	77	9	252	10	26	95	147	27	18	18	4	4	15	8	6	14	13	29	13	28	14	8	11	11	6
TrH2_TrispH2_004786	11090	306	524	168	1859	539	1305	540	1920	9968	151	368	8352	3049	179	8357	309	1123	3812	4495	473	906	694	268	140	379	316	304	779	280	1027	524	613	269	345	413	308	111
TrH2_TrispH2_004788	42	0	0	2	9	5	10	2	8	48	0	2	32	15	0	36	0	8	10	23	1	6	6	0	1	3	1	0	2	1	5	2	8	0	1	1	1	3
TrH2_TrispH2_004789	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TrH2_TrispH2_004790	24	1	2	0	0	0	0	0	0	24	0	0	13	10	0	24	0	1	9	3	0	0	1	0	0	0	1	0	1	0	1	2	0	0	0	0	0	0
TrH2_TrispH2_004792	28	4	1	0	3	0	4	0	3	30	0	2	25	2	1	18	0	4	12	10	1	1	0	2	2	0	0	0	0	0	0	0	0	1	0	0	0	0
TrH2_TrispH2_004794	63	3	3	6	12	4	10	1	12	52	0	2	37	13	1	57	4	8	25	29	0	11	3	1	1	2	4	1	7	2	9	1	4	1	1	0	3	1
TrH2_orphan_592	426	20	16	9	59	23	50	20	55	386	6	14	309	84	4	313	11	51	150	173	14	23	28	10	6	14	13	9	16	5	44	20	25	14	12	11	15	7
TrH2_orphan_593	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TrH2_TrispH2_004797	3	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
TrH2_TrispH2_004798	56	1	1	2	11	3	8	1	10	36	0	0	52	12	1	53	0	5	15	16	0	4	7	1	1	4	3	1	4	3	11	1	2	0	1	0	1	0
TrH2_TrispH2_004804	2020	29	68	42	264	69	257	73	273	1744	24	44	1372	433	12	1274	34	181	605	720	86	131	165	96	46	47	50	35	85	62	197	80	101	34	78	72	69	33
TrH2_TrispH2_004806	484	11	26	11	105	28	59	21	93	358	3	9	357	114	8	344	13	38	135	198	27	38	18	5	6	18	17	11	30	10	45	29	45	9	13	15	8	10
TrH2_TrispH2_004808	27	1	0	0	1	0	3	3	4	21	0	1	14	5	0	12	0	2	8	8	4	5	3	0	1	1	0	1	3	1	1	4	1	0	1	0	0	0
TrH2_TrispH2_004811	205	8	3	4	30	6	19	6	19	194	1	5	121	48	5	128	7	23	90	71	4	9	10	4	3	5	4	3	5	1	15	8	16	4	5	6	5	4
TrH2_TrispH2_004814	59	1	0	1	6	1	11	1	3	35	1	0	17	19	2	32	3	4	23	21	4	4	2	2	1	2	2	3	2	0	3	0	2	0	0	0	2	1
TrH2_TrispH2_004815	37	3	9	3	3	4	7	2	8	44	0	3	27	15	0	33	0	3	24	12	1	2	1	0	0	5	1	3	3	0	6	1	5	3	0	1	1	0
TrH2_TrispH2_004817	276	6	12	4	42	18	35	8	49	271	2	5	205	62	4	217	6	29	97	97	7	22	19	13	2	5	6	7	17	8	23	9	20	7	10	5	7	3
TrH2_TrispH2_004818	51	1	3	1	4	1	6	1	6	49	0	3	27	12	0	31	0	5	20	18	2	1	5	1	1	2	2	1	5	2	3	1	1	1	0	1	2	1
TrH2_TrispH2_004819	138	3	8	2	21	8	16	2	25	163	3	6	91	38	2	119	5	17	56	65	10	10	5	1	3	9	4	1	17	6	10	4	9	6	6	8	2	5
TrH2_TrispH2_004820	32	0	1	1	3	2	4	2	3	37	0	0	26	8	0	34	0	3	15	12	1	1	0	2	1	3	2	2	1	1	0	4	4	1	2	4	1	1
TrH2_TrispH2_004821	24	0	0	0	1	0	3	2	1	13	0	0	13	4	0	14	0	2	11	12	1	1	4	0	0	1	1	1	1	0	1	1	0	2	0	1	2	0
TrH2_TrispH2_004763	66	1	1	0	4	6	6	1	13	32	0	0	37	11	4	40	1	3	3	21	2	2	1	0	1	1	0	1	5	0	5	0	2	0	3	0	2	1
TrH2_TrispH2_004764	311	3	9	2	45	18	45	14	43	232	4	9	203	68	2	240	7	29	85	115	13	23	21	9	4	15	14	5	11	6	19	15	13	4	14	16	6	5
TrH2_TrispH2_004765	112	1	3	3	18	7	13	4	20	84	1	4	67	22	1	69	5	6	27	56	4	11	4	4	3	4	3	1	6	4	12	3	12	4	3	2	2	4
TrH2_TrispH2_004768	106	3	2	2	9	3	4	4	8	153	5	4	56	28	0	70	0	15	49	32	2	7	13	1	4	5	0	4	4	2	8	5	2	2	1	0	1	1
TrH2_TrispH2_004773	7	0	1	0	1	1	2	0	0	6	1	0	10	4	0	3	0	0	0	4	2	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0
TrH2_TrispH2_004774	29	0	3	0	3	2	7	1	4	41	0	1	27	10	0	24	2	2	16	9	0	3	1	0	0	1	2	1	3	0	3	0	1	1	2	0	2	1
TrH2_TrispH2_004775	323	18	13	1	32	10	19	7	47	527	7	25	220	56	17	246	36	74	212	108	10	63	19	1	1	8	10	7	11	6	10	20	7	5	2	22	2	1
TrH2_TrispH2_004776	209	11	16	2	39	16	19	2	35	205	5	16	140	53	3	163	3	31	71	76	7	16	11	5	4	3	7	4	13	5	14	8	7	5	7	5	2	1
TrH2_TrispH2_004780	87	1	5	4	15	7	18	6	12	99	1	0	66	18	2	76	0	10	27	35	7	15	8	3	4	6	1	2	5	1	8	1	2	3	3	2	6	0
TrH2_TrispH2_004782	3990	115	183	65	584	191	505	164	629	3753	69	142	3011	1035	68	2875	137	472	1380	1642	118	311	251	108	55	143	109	97	254	93	354	181	224	113	140	117	97	46
TrH2_TrispH2_004784	55	0	0	1	16	2	8	1	9	77	0	5	40	12	2	58	2	13	23	21	0	1	4	2	1	0	0	1	5	2	2	6	1	0	1	0	3	0
TrH2_TrispH2_004785	19	0	0	1	0	1	5	1	4	24	0	1	11	5	0	19	2	1	7	9	1	0	0	1	0	1	0	1	2	1	0	1	2	1	0	0	1	0
TrH2_TrispH2_004787	199	8	11	2	40	12	24	8	39	224	1	9	145	44	5	170	8	30	78	84	9	15	12	8	5	3	9	6	15	1	9	6	13	5	5	6	3	0
TrH2_orphan_595	1	1	0	0	0	0	0	0	1	2	0	0	2	1	0	1	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TrH2_TrispH2_004793	96	2	1	5	16	7	8	3	17	77	2	0	62	17	1	56	0	14	30	28	5	5	7	3	1	2	1	3	3	2	9	3	4	1	2	2	12	4
TrH2_TrispH2_004795	188	8	14	2	22	8	13	5	24	345	5	18	116	33	10	128	11	51	160	78	5	8	18	0	4	6	3	6	6	5	10	3	9	13	3	4	6	1
TrH2_TrispH2_004796	149	3	6	7	20	11	19	3	20	158	4	5	103	31	3	100	7	14	62	49	4	14	6	2	2	3	4	2	9	2	16	9	11	3	5	9	6	0
TrH2_TrispH2_004799	21	1	2	0	2	5	1	0	3	6	0	0	11	5	0	6	2	0	6	10	1	0	0	1	1	0	0	0	0	0	1	0	0	0	0	0	3	0
TrH2_TrispH2_004800	40	1	2	1	4	2	6	1	5	44	0	1	29	13	0	30	0	6	21	18	0	2	1	1	2	0	0	0	3	2	2	1	3	0	1	1	2	3
TrH2_TrispH2_004801	44	0	1	3	1	5	7	4	4	24	0	0	29	15	0	46	1	0	6	15	0	3	6	2	0	1	1	0	4	0	2	1	3	0	0	0	6	1
TrH2_TrispH2_004802	26	0	0	0	0	3	1	0	2	5	0	0	2	3	0	11	1	1	4	6	1	1	0	3	0	0	0	1	0	0	1	0	0	0	0	0	1	0
TrH2_TrispH2_004803	822	25	32	11	99	16	94	34	110	781	6	19	468	154	3	500	7	81	309	273	22	70	71	34	15	24	16	16	36	31	68	22	36	23	23	30	27	9
TrH2_TrispH2_004805	1699	43	111	24	272	58	198	59	223	1677	27	72	1246	446	18	1247	60	212	695	633	55	97	85	46	25	75	44	59	97	32	132	77	95	57	48	56	24	18
TrH2_TrispH2_004807	27	0	2	1	5	2	3	3	7	21	0	0	17	8	1	18	0	1	5	2	3	1	1	0	1	1	0	4	2	0	5	2	1	0	0	0	2	0
TrH2_TrispH2_004809	55	0	2	0	4	0	5	0	9	42	0	6	34	17	3	33	0	7	6	18	1	7	4	1	2	1	2	1	0	3	5	3	3	1	0	0	4	0
TrH2_TrispH2_004810	30	0	0	1	5	1	5	0	4	22	0	0	14	6	0	25	0	1	9	8	2	9	0	0	0	0	0	2	0	0	4	2	2	3	0	0	1	2
TrH2_TrispH2_004812	48	2	1	1	3	0	6	3	9	29	0	0	42	13	1	39	2	3	21	14	2	1	2	1	2	1	0	2	4	0	7	1	2	0	1	0	0	0
TrH2_TrispH2_004813	82	1	5	1	10	3	17	1	19	118	1	10	64	21	3	76	5	11	52	27	4	3	9	1	1	2	4	3	7	3	5	3	9	5	2	7	6	1
TrH2_TrispH2_004816	107	3	5	4	11	5	12	6	14	95	1	2	74	21	2	70	5	6	28	32	3	13	6	3	1	3	2	1	5	3	10	7	10	1	4	2	3	2
TrH2_TrispH2_006562	146	6	7	3	15	7	27	4	22	138	0	4	99	42	4	107	4	13	74	57	11	10	4	2	3	5	4	6	6	8	18	5	10	1	2	5	1	1
TrH2_TrispH2_006564	43	2	3	0	8	2	3	2	7	49	0	6	26	7	4	35	0	6	18	18	1	3	2	0	2	1	2	2	0	0	2	2	3	0	0	0	1	0
TrH2_TrispH2_006566	5	0	0	0	1	0	0	0	0	9	0	1	5	0	0	5	0	1	5	2	0	0	1	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0
TrH2_TrispH2_006572	8	0	0	0	0	0	0	0	0	7	0	0	6	2	0	5	1	0	1	2	1	0	1	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0
TrH2_TrispH2_006574	139	4	8	2	16	6	12	6	25	149	2	9	114	48	6	126	4	14	68	50	4	17	7	7	0	4	5	9	8	4	8	5	6	3	2	6	3	1
TrH2_TrispH2_006575	4	0	0	1	0	0	0	0	0	4	0	0	5	1	0	5	0	0	1	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0
TrH2_TrispH2_006578	80	5	2	2	15	4	9	4	10	85	0	1	65	24	4	66	3	9	41	38	2	5	3	2	2	4	5	4	5	0	6	4	2	0	2	1	3	1
TrH2_TrispH2_006580	312	10	15	5	48	14	44	14	51	283	10	8	238	92	3	241	6	32	115	117	17	23	21	14	6	18	10	7	19	10	27	17	14	3	9	10	7	2
TrH2_TrispH2_006582	26	0	0	2	4	1	1	0	3	27	0	0	21	14	0	21	0	0	10	12	1	1	1	0	0	0	2	0	0	1	4	0	0	0	3	0	0	0
TrH2_TrispH2_006583	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TrH2_TrispH2_006585	156	11	9	5	28	14	16	3	33	191	6	7	124	38	2	128	2	24	61	76	4	11	8	4	1	11	6	3	10	0	16	4	11	5	7	4	6	1
TrH2_TrispH2_006588	422	8	26	9	70	20	38	20	51	330	6	11	328	132	4	318	6	40	122	168	19	51	24	12	6	10	8	4	18	11	36	19	30	9	13	17	18	17
TrH2_TrispH2_006590	43	1	2	1	7	3	4	1	10	41	1	4	40	8	2	31	1	5	19	22	1	2	0	1	0	2	3	3	2	0	3	1	6	2	0	0	0	0
TrH2_TrispH2_006592	154	3	6	3	16	5	15	1	32	140	0	3	114	28	2	111	7	13	56	71	3	10	14	8	1	0	1	1	8	6	14	10	10	5	4	6	5	1
TrH2_TrispH2_006595	69	3	2	3	12	0	8	3	12	45	0	1	52	18	2	45	1	1	10	17	1	11	4	6	1	2	1	1	3	0	3	4	4	2	3	2	0	0
TrH2_TrispH2_006598	74	4	3	0	17	3	10	2	10	83	1	1	52	24	0	57	4	16	27	33	5	4	3	2	2	1	0	3	6	2	6	1	1	2	2	2	3	2
TrH2_TrispH2_006599	38	0	8	1	7	1	7	1	5	33	2	1	28	8	2	21	1	4	20	14	2	0	2	0	1	3	0	1	2	0	4	4	3	1	3	3	1	0
TrH2_TrispH2_006600	28	0	0	0	0	4	3	2	6	16	0	1	19	12	0	23	2	4	9	15	1	0	0	1	0	2	0	0	3	0	3	0	2	1	1	0	5	1
TrH2_TrispH2_006601	208	9	15	2	26	6	37	13	31	266	3	10	137	43	4	158	4	29	135	94	6	14	4	7	0	7	6	4	23	8	9	6	9	3	3	13	3	0
TrH2_orphan_596	5	0	0	0	3	2	0	0	0	3	0	0	2	2	0	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TrH2_TrispH2_006607	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TrH2_TrispH2_006614	179	2	8	1	29	3	14	6	21	146	2	3	106	40	0	133	11	11	57	62	7	10	9	6	2	3	2	1	7	4	20	14	8	7	8	7	1	2
TrH2_TrispH2_006616	1011	23	42	15	164	42	143	41	181	814	19	26	749	256	23	751	25	92	299	418	34	90	61	22	19	33	27	22	62	29	95	41	59	21	20	34	22	27
TrH2_orphan_597	5	0	1	0	1	0	1	0	0	5	0	0	2	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	1	0	0	0
TrH2_TrispH2_006619	26	0	1	1	3	0	1	0	4	13	0	3	23	14	0	23	0	4	7	10	0	3	1	1	0	1	1	0	1	0	1	0	0	2	1	1	0	1
TrH2_TrispH2_006563	91	3	3	5	18	4	10	1	15	90	4	1	68	26	0	76	4	11	26	37	4	9	8	1	0	0	2	2	5	3	8	6	4	2	3	2	0	2
TrH2_TrispH2_006565	67	3	3	0	5	0	5	1	9	76	1	4	27	14	1	38	2	10	36	22	1	3	4	0	0	2	2	3	1	0	1	4	1	2	2	2	0	1
TrH2_TrispH2_006567	32	3	2	0	4	4	4	0	11	69	1	2	23	3	1	26	2	11	37	13	1	4	2	1	0	1	4	4	4	0	2	0	2	0	0	2	1	0
TrH2_TrispH2_006568	54	4	8	3	7	0	3	0	10	81	0	9	36	12	0	39	4	19	52	28	3	5	4	2	0	1	2	4	2	0	6	1	7	1	1	4	0	0
