TrH2_hyp_clust10124.t1	DDE_Tnp_4
TrH2_TrispH2_006148-RA	
TrH2_TrispH2_006149-RA	Arf
TrH2_TrispH2_006150-RA	Glyco_hydro_18
TrH2_TrispH2_006151-RA	Glyco_hydro_18
TrH2_TrispH2_006152-RA	Glyco_hydro_18
TrH2_TrispH2_006153-RA	Solute_trans_a
TrH2_TrispH2_006154-RA	adh_short adh_short
TrH2_TrispH2_006155-RA	adh_short
TrH2_TrispH2_006156-RA	adh_short
TrH2_TrispH2_006157-RA	
TrH2_TrispH2_006158-RA	BTG
TrH2_TrispH2_006159-RA	DNA_ligase_A_N DNA_ligase_A_M DNA_ligase_A_C
TrH2_TrispH2_006160-RA	C2 C2 C2
TrH2_TrispH2_006161-RA	C2 C2
TrH2_TrispH2_006162-RA	HEAT_2
TrH2_TrispH2_006163-RA	MRP-S34
TrH2_TrispH2_006164-RA	Death
TrH2_TrispH2_006165-RA	DUF3677
TrH2_TrispH2_006166-RA	
TrH2_TrispH2_006167-RA	LRR_8 LRR_8 Gelsolin Gelsolin Gelsolin Gelsolin
TrH2_TrispH2_006168-RA	Pyr_redox_3
TrH2_TrispH2_006169-RA	Pyr_redox_3 Pyr_redox_3
TrH2_TrispH2_006170-RA	Pyr_redox_3
TrH2_TrispH2_006171-RA	Pyr_redox_3
TrH2_TrispH2_006172-RA	Pyr_redox_3 Pyr_redox_3
TrH2_TrispH2_006173-RA	Pyr_redox_3
TrH2_TrispH2_006174-RA	
TrH2_TrispH2_006175-RA	
TrH2_TrispH2_006176-RA	Kinesin
TrH2_TrispH2_006177-RA	
TrH2_TrispH2_006178-RA	DAO
TrH2_TrispH2_006179-RA	DAO
TrH2_TrispH2_006180-RA	DAO
TrH2_TrispH2_006181-RA	PHF5
TrH2_TrispH2_006182-RA	Njmu-R1
TrH2_TrispH2_006183-RA	LLGL Lgl_C
TrH2_TrispH2_006184-RA	Cofilin_ADF SH3_9
TrH2_TrispH2_006185-RA	RBD-FIP
TrH2_TrispH2_006186-RA	Pkinase
TrH2_TrispH2_006187-RA	PRKCSH
TrH2_TrispH2_006188-RA	Bax1-I
TrH2_TrispH2_006189-RA	
TrH2_TrispH2_006190-RA	PNP_UDP_1
TrH2_TrispH2_006191-RA	NAC HYPK_UBA
TrH2_TrispH2_006192-RA	zf-RING_2
TrH2_TrispH2_006193-RA	Sod_Cu Sod_Cu Sod_Cu
TrH2_TrispH2_006194-RA	DAO
TrH2_TrispH2_006195-RA	SH2
TrH2_TrispH2_006196-RA	Nucleoplasmin NPM1-C
TrH2_TrispH2_006197-RA	Creatinase_N Creatinase_N_2 Peptidase_M24 Peptidase_M24_C
TrH2_TrispH2_006198-RA	RGS Pkinase
TrH2_TrispH2_006199-RA	Mitofilin Mitofilin
TrH2_TrispH2_006200-RA	CCDC142
TrH2_TrispH2_006202-RA	Sel1 Sel1 Sel1 Sel1 Sel1
TrH2_TrispH2_006203-RA	Romo1
TrH2_TrispH2_006204-RA	TGFb_propeptide
TrH2_TrispH2_006205-RA	TGFb_propeptide TGF_beta
TrH2_TrispH2_006206-RA	DOCK_N DOCK-C2 DHR-2
TrH2_TrispH2_006207-RA	PI3_PI4_kinase
TrH2_TrispH2_006208-RA	Rhodanese DSPc
TrH2_TrispH2_006209-RA	
TrH2_TrispH2_006210-RA	GAF GAF PDEase_I
TrH2_TrispH2_006211-RA	ECR1_N EXOSC1
TrH2_TrispH2_006212-RA	
TrH2_TrispH2_006213-RA	
TrH2_TrispH2_006214-RA	
TrH2_TrispH2_006215-RA	HEAT_2
TrH2_TrispH2_006216-RA	ZIP4_domain Zip
TrH2_TrispH2_006217-RA	
TrH2_TrispH2_006218-RA	ZIP4_domain Zip Zip Zip
TrH2_TrispH2_006219-RA	FAM178
TrH2_TrispH2_006220-RA	
TrH2_TrispH2_006221-RA	Kinesin
TrH2_TrispH2_006222-RA	DDRGK
TrH2_TrispH2_006223-RA	Rad21_Rec8
TrH2_TrispH2_006224-RA	Kinesin Microtub_bind
TrH2_TrispH2_006225-RA	PH PH
TrH2_TrispH2_006226-RA	Abhydrolase_1
TrH2_TrispH2_006227-RA	
TrH2_TrispH2_006228-RA	
TrH2_TrispH2_006229-RA	
TrH2_TrispH2_006230-RA	Ldl_recept_a Ldl_recept_a CUB Ldl_recept_a CUB CUB CUB CUB CUB Ldl_recept_a CUB Ldl_recept_a LRR_8 LRR_8 7tm_1
TrH2_TrispH2_006231-RA	7tm_1
TrH2_TrispH2_006232-RA	Macro
TrH2_TrispH2_006233-RA	Methyltr_RsmB-F
TrH2_TrispH2_006234-RA	
TrH2_TrispH2_006235-RA	DUF726
TrH2_TrispH2_006236-RA	DIE2_ALG10
TrH2_TrispH2_006237-RA	
TrH2_TrispH2_006238-RA	Tubulin Tubulin_C
TrH2_TrispH2_006239-RA	2-Hacid_dh_C
TrH2_TrispH2_006240-RA	MENTAL START
TrH2_TrispH2_006241-RA	
TrH2_TrispH2_006242-RA	
TrH2_TrispH2_006243-RA	Tetraspanin
TrH2_TrispH2_006244-RA	GTP_EFTU GTP_EFTU_D2 GTP_EFTU_D3
TrH2_TrispH2_006245-RA	
TrH2_TrispH2_006246-RA	Apyrase
TrH2_TrispH2_006247-RA	Ribosomal_L1
TrH2_TrispH2_006248-RA	MATH UCH USP7_ICP0_bdg USP7_C2
TrH2_TrispH2_006249-RA	DUF4588
TrH2_TrispH2_006250-RA	IBN_N Xpo1 Xpo1
TrH2_TrispH2_006251-RA	
TrH2_TrispH2_006252-RA	Myosin_N Myosin_head Myosin_head Myosin_tail_1
TrH2_TrispH2_006253-RA	fn3 fn3 fn3 fn3 fn3 fn3 fn3 fn3 fn3 fn3 fn3
TrH2_TrispH2_006254-RA	
TrH2_TrispH2_006255-RA	7tm_1
TrH2_TrispH2_006256-RA	LUC7
TrH2_TrispH2_006257-RA	Ank_2
TrH2_TrispH2_006258-RA	RRM_1 RRM_1
TrH2_TrispH2_006259-RA	AOX
TrH2_TrispH2_006260-RA	
TrH2_TrispH2_006261-RA	
TrH2_TrispH2_006262-RA	BAG
TrH2_TrispH2_006263-RA	GST_N_3 GST_C_2
TrH2_TrispH2_006264-RA	B12D
TrH2_TrispH2_006265-RA	RUN
TrH2_TrispH2_006266-RA	PHD zf-HC5HC2H_2 PHD
TrH2_TrispH2_006267-RA	
TrH2_TrispH2_006268-RA	MBD DDT WHIM1 WSD WSD PHD PHD Bromodomain
TrH2_TrispH2_006269-RA	W2
TrH2_TrispH2_006270-RA	DUF4580
TrH2_TrispH2_006271-RA	LMBR1 LMBR1
TrH2_TrispH2_006272-RA	polyprenyl_synt
TrH2_TrispH2_006273-RA	Tim44
TrH2_TrispH2_006274-RA	LRR_8 LRR_8 LRR_8 LRR_8 LRR_8 7tm_1
TrH2_TrispH2_006275-RA	IFT57
TrH2_TrispH2_006276-RA	DUF2053
TrH2_TrispH2_006277-RA	HAUS2
TrH2_TrispH2_006278-RA	
TrH2_TrispH2_006279-RA	
TrH2_TrispH2_006280-RA	7tm_1
TrH2_TrispH2_006281-RA	
TrH2_TrispH2_006282-RA	COesterase
TrH2_TrispH2_006283-RA	NB-ARC APAF1_C
TrH2_TrispH2_006284-RA	HTH_IclR
TrH2_TrispH2_006285-RA	NB-ARC APAF1_C
TrH2_TrispH2_006286-RA	ASXH NFRKB_winged
TrH2_TrispH2_006287-RA	SRP-alpha_N SRP54_N SRP54
TrH2_TrispH2_006288-RA	NB-ARC APAF1_C
TrH2_TrispH2_006289-RA	NB-ARC APAF1_C
TrH2_TrispH2_006290-RA	Acetyltransf_1
TrH2_TrispH2_006291-RA	
TrH2_TrispH2_006292-RA	Acetyltransf_1
TrH2_TrispH2_006293-RA	Acetyltransf_1
TrH2_TrispH2_006294-RA	Rho_Binding
TrH2_TrispH2_006295-RA	UQ_con
TrH2_TrispH2_006296-RA	NB-ARC APAF1_C
TrH2_TrispH2_006297-RA	EGF EGF EGF EGF_CA EGF EGF EGF_CA EGF EGF EGF_CA hEGF hEGF EGF_CA
TrH2_TrispH2_006298-RA	EGF EGF EGF hEGF EGF
TrH2_TrispH2_006299-RA	
TrH2_TrispH2_006300-RA	
TrH2_TrispH2_006301-RA	Ndc80_HEC
TrH2_TrispH2_006302-RA	DUF3456
TrH2_TrispH2_006303-RA	Clat_adaptor_s Adap_comp_sub
TrH2_TrispH2_006304-RA	Pacifastin_I Pacifastin_I Pacifastin_I Pacifastin_I Pacifastin_I Pacifastin_I Pacifastin_I Pacifastin_I Pacifastin_I Pacifastin_I Pacifastin_I Pacifastin_I Pacifastin_I Pacifastin_I Pacifastin_I Pacifastin_I Pacifastin_I Pacifastin_I Pacifastin_I Pacifastin_I
TrH2_TrispH2_006305-RA	ubiquitin
TrH2_TrispH2_006306-RA	DUF1057
TrH2_TrispH2_006307-RA	DUF1057
TrH2_TrispH2_006308-RA	ubiquitin Ribosomal_L40e
TrH2_TrispH2_006309-RA	DUF1057
TrH2_TrispH2_006310-RA	
TrH2_TrispH2_006311-RA	LRR_8 CH
TrH2_TrispH2_006312-RA	Myosin_head
TrH2_TrispH2_006313-RA	Myosin_head IQ IQ MyTH4 FERM_M SH3_2 MyTH4 FERM_M
TrH2_TrispH2_006314-RA	CAP_GLY
TrH2_TrispH2_006315-RA	
TrH2_TrispH2_006316-RA	Glypican
TrH2_TrispH2_006317-RA	7tm_1
TrH2_TrispH2_006318-RA	
TrH2_TrispH2_006319-RA	7tm_1
TrH2_TrispH2_006320-RA	
TrH2_TrispH2_006321-RA	7tm_1
TrH2_TrispH2_006322-RA	
TrH2_TrispH2_006323-RA	7tm_1
TrH2_TrispH2_006324-RA	Thymidylat_synt
TrH2_TrispH2_006325-RA	
TrH2_TrispH2_006326-RA	
TrH2_TrispH2_006327-RA	Branch
TrH2_TrispH2_006328-RA	KH_8
TrH2_TrispH2_006329-RA	NAD_binding_10
TrH2_TrispH2_006330-RA	
TrH2_TrispH2_006331-RA	GalKase_gal_bdg GHMP_kinases_N GHMP_kinases_C
TrH2_TrispH2_006332-RA	ANF_receptor 7tm_3
TrH2_TrispH2_006333-RA	C2 Myotub-related FYVE
TrH2_TrispH2_006334-RA	Choline_kinase
TrH2_TrispH2_006335-RA	MutS_II MutS_III MutS_IV MutS_V
TrH2_TrispH2_006336-RA	NDT80_PhoG Peptidase_S74 MRF_C1 MRF_C2
TrH2_TrispH2_006337-RA	MMS1_N CPSF_A
TrH2_TrispH2_006338-RA	LTD
TrH2_TrispH2_006339-RA	GLTSCR1
TrH2_TrispH2_006340-RA	Big_2
TrH2_TrispH2_006341-RA	Aph-1
TrH2_TrispH2_006342-RA	NUDIX
TrH2_TrispH2_006343-RA	
TrH2_TrispH2_006344-RA	zf-TRAF_2 F-box_4
TrH2_TrispH2_006345-RA	LMWPc
TrH2_TrispH2_006346-RA	PHD
TrH2_TrispH2_006347-RA	LMWPc
TrH2_TrispH2_006348-RA	ABC_membrane ABC_tran
TrH2_TrispH2_006349-RA	Prot_ATP_ID_OB AAA AAA_lid_3
TrH2_TrispH2_006350-RA	Ten1_2
TrH2_TrispH2_006351-RA	Zip
TrH2_TrispH2_006352-RA	Zip
TrH2_TrispH2_006353-RA	G6PD_N G6PD_C Glucosamine_iso
TrH2_TrispH2_006354-RA	Peptidase_M20 M20_dimer
TrH2_TrispH2_006355-RA	Peptidase_M20 M20_dimer
TrH2_TrispH2_006356-RA	Peptidase_M20 M20_dimer
TrH2_TrispH2_006357-RA	IF-2B
TrH2_TrispH2_006358-RA	DUF775
TrH2_TrispH2_006359-RA	PH Oxysterol_BP
TrH2_TrispH2_006360-RA	HlyIII
TrH2_TrispH2_006361-RA	Ank_2 Ank_2 Ank_2
TrH2_TrispH2_006362-RA	DEAD Helicase_C Dicer_dimer PAZ Ribonuclease_3 Ribonuclease_3
TrH2_TrispH2_006363-RA	Cnd1
TrH2_TrispH2_006364-RA	Arf
TrH2_TrispH2_006365-RA	DUF4062 NACHT WD40 WD40 WD40
TrH2_TrispH2_006366-RA	DUF4062 NACHT WD40 WD40 WD40 WD40 WD40 WD40 WD40
TrH2_TrispH2_006367-RA	DUF4062 NACHT WD40 WD40 WD40 WD40
TrH2_TrispH2_006368-RA	
TrH2_TrispH2_006369-RA	EF-hand_7 Ras
TrH2_TrispH2_006370-RA	
TrH2_TrispH2_006371-RA	
TrH2_TrispH2_006372-RA	Pkinase
TrH2_TrispH2_006373-RA	Phospholip_B
TrH2_TrispH2_006374-RA	7tm_1
TrH2_TrispH2_006375-RA	LRR_8 LRR_8
TrH2_TrispH2_006376-RA	Laminin_EGF Laminin_EGF NTR
TrH2_TrispH2_006377-RA	Hydrolase
TrH2_TrispH2_006378-RA	VKOR
TrH2_TrispH2_006379-RA	ATP_bind_1
TrH2_TrispH2_006380-RA	DAO
TrH2_TrispH2_006381-RA	
TrH2_TrispH2_006382-RA	DNA_photolyase FAD_binding_7
TrH2_TrispH2_006383-RA	DNA_photolyase FAD_binding_7
TrH2_TrispH2_006384-RA	DNA_photolyase FAD_binding_7
TrH2_TrispH2_006385-RA	
TrH2_TrispH2_006386-RA	
TrH2_TrispH2_006387-RA	
TrH2_TrispH2_006388-RA	MADF_DNA_bdg
TrH2_TrispH2_006389-RA	7tm_1
TrH2_TrispH2_006390-RA	RNA_pol_Rpb4
TrH2_TrispH2_006391-RA	
TrH2_TrispH2_006392-RA	CCDC92
TrH2_TrispH2_006393-RA	Asp_Arg_Hydrox
TrH2_TrispH2_006394-RA	ArfGap Ank GIT_SHD GIT_SHD
TrH2_TrispH2_006395-RA	BTB Ank_2 Ank_2 Ank_4 Ank_2 Ank_2 FYVE
TrH2_TrispH2_006396-RA	PH
TrH2_TrispH2_006397-RA	TPR_8 TPR_8
TrH2_TrispH2_006398-RA	PTH2
TrH2_TrispH2_006399-RA	
TrH2_TrispH2_006400-RA	NatB_MDM20
TrH2_TrispH2_006401-RA	INTS5_N INTS5_C
TrH2_TrispH2_006402-RA	
TrH2_TrispH2_006403-RA	Stealth_CR1 Stealth_CR2 Notch Notch DMAP_binding Stealth_CR3 Stealth_CR4
TrH2_TrispH2_006404-RA	SNARE_assoc
TrH2_TrispH2_006405-RA	Sdh5
TrH2_TrispH2_006406-RA	Ras
TrH2_TrispH2_006407-RA	Ras
TrH2_TrispH2_006408-RA	Asp
TrH2_TrispH2_006409-RA	Asp
TrH2_TrispH2_006410-RA	Asp
TrH2_TrispH2_006411-RA	AMP-binding AMP-binding_C
TrH2_TrispH2_006412-RA	AMP-binding AMP-binding_C
TrH2_TrispH2_006413-RA	Glyco_tran_10_N Glyco_transf_10
TrH2_TrispH2_006414-RA	
TrH2_TrispH2_006415-RA	RhoGEF
TrH2_TrispH2_006416-RA	SAM_1 SAM_1 SAM_2
TrH2_TrispH2_006417-RA	
TrH2_TrispH2_006418-RA	zf-RING_2
TrH2_TrispH2_006419-RA	C2
TrH2_TrispH2_006420-RA	Asp
TrH2_TrispH2_006421-RA	
TrH2_TrispH2_006422-RA	Lip_prot_lig_C
TrH2_TrispH2_006423-RA	PCI
TrH2_TrispH2_006424-RA	
TrH2_TrispH2_006425-RA	RasGEF_N RasGEF EF-hand_5 EF-hand_5 C1_1
TrH2_TrispH2_006426-RA	Prot_ATP_ID_OB AAA AAA_lid_3
TrH2_TrispH2_006427-RA	Clat_adaptor_s
TrH2_TrispH2_006428-RA	DAO
TrH2_TrispH2_006429-RA	OATP Kazal_2
TrH2_TrispH2_006430-RA	
TrH2_TrispH2_006431-RA	
TrH2_TrispH2_006432-RA	Abhydrolase_1
TrH2_TrispH2_006433-RA	Pyr_redox_2
TrH2_TrispH2_006434-RA	
TrH2_TrispH2_006435-RA	Spc7
TrH2_TrispH2_006436-RA	
TrH2_TrispH2_006437-RA	Rap_GAP
TrH2_TrispH2_006438-RA	THF_DHG_CYH
TrH2_TrispH2_006439-RA	THF_DHG_CYH THF_DHG_CYH_C FTHFS
TrH2_TrispH2_006440-RA	EHD_N Dynamin_N DUF5600 EF-hand_4
TrH2_TrispH2_006441-RA	PID
TrH2_TrispH2_006442-RA	Aminotran_5 Aminotran_5 MOSC_N MOSC
TrH2_TrispH2_006443-RA	
TrH2_TrispH2_006444-RA	RCC1 RCC1 RCC1 RCC1 RCC1 RCC1 RCC1
TrH2_TrispH2_006445-RA	Death
TrH2_TrispH2_006446-RA	DIM1
TrH2_TrispH2_006447-RA	
TrH2_TrispH2_006448-RA	PDZ
TrH2_TrispH2_006449-RA	7tm_1
TrH2_TrispH2_006450-RA	7tm_1
TrH2_TrispH2_006451-RA	7tm_1
TrH2_TrispH2_006452-RA	7tm_1
TrH2_TrispH2_006453-RA	
TrH2_TrispH2_006454-RA	Death SEFIR
TrH2_TrispH2_006455-RA	
TrH2_TrispH2_006456-RA	Ank_2 Ank_2 Ank_4 SAM_2 SAM_2
TrH2_TrispH2_006457-RA	TAFII28
TrH2_TrispH2_006458-RA	Lectin_C GPS 7tm_2
TrH2_TrispH2_006459-RA	Ank_5 FERM_M RasGEF
TrH2_TrispH2_006460-RA	DUF1241
TrH2_TrispH2_006461-RA	OATP Kazal_2
TrH2_TrispH2_006462-RA	OATP Kazal_2
TrH2_TrispH2_006463-RA	OATP Kazal_2
TrH2_TrispH2_006464-RA	OATP Kazal_2
TrH2_TrispH2_006465-RA	OATP Kazal_2
TrH2_TrispH2_006466-RA	OATP Kazal_2
TrH2_TrispH2_006467-RA	
TrH2_TrispH2_006468-RA	OATP Kazal_2
TrH2_TrispH2_006469-RA	OATP Kazal_2
TrH2_TrispH2_006470-RA	OATP Kazal_2
TrH2_TrispH2_006471-RA	SH3_1 SH2 Pkinase_Tyr
TrH2_TrispH2_006472-RA	
TrH2_TrispH2_006473-RA	Hist_deacetyl
TrH2_TrispH2_006474-RA	Patatin
TrH2_TrispH2_006475-RA	
TrH2_TrispH2_006476-RA	
TrH2_TrispH2_006477-RA	LRR_4
TrH2_TrispH2_006478-RA	SH3_1
TrH2_TrispH2_006479-RA	C2
TrH2_TrispH2_006480-RA	
TrH2_TrispH2_006481-RA	
TrH2_TrispH2_006482-RA	SMC_Nse1 zf-RING-like
TrH2_TrispH2_006483-RA	Ig_2
TrH2_TrispH2_006484-RA	
TrH2_TrispH2_006485-RA	DUF1394
TrH2_TrispH2_006486-RA	Abhydrolase_2 Abhydrolase_2
TrH2_TrispH2_006487-RA	FAM91_N FAM91_C
TrH2_TrispH2_006488-RA	YhhN
TrH2_TrispH2_006489-RA	HMG_box
TrH2_TrispH2_006490-RA	DUF5523 CC2D2AN-C2 C2
TrH2_TrispH2_006491-RA	
TrH2_TrispH2_006492-RA	NUDIX
TrH2_TrispH2_006493-RA	PTCB-BRCT BRCT
TrH2_TrispH2_006494-RA	
TrH2_TrispH2_006495-RA	PRK UPRTase
TrH2_TrispH2_006496-RA	Sad1_UNC
TrH2_TrispH2_006497-RA	RRM_1 RRM_1
TrH2_TrispH2_006498-RA	CUB GPS 7tm_2 RRM_1 RRM_1
TrH2_TrispH2_006499-RA	ECH_2 ECH_2
TrH2_TrispH2_006500-RA	7tm_2
TrH2_TrispH2_006501-RA	
TrH2_TrispH2_006502-RA	
TrH2_TrispH2_006503-RA	TPR_8
TrH2_TrispH2_006504-RA	POP1 POP1 POPLD
TrH2_TrispH2_006505-RA	SNF2_N Helicase_C
TrH2_TrispH2_006506-RA	Stathmin
TrH2_TrispH2_006507-RA	Serpin
TrH2_TrispH2_006508-RA	Serpin
TrH2_TrispH2_006509-RA	DCX PLAT PLAT FGF PLAT PLAT PLAT PLAT PLAT PLAT PLAT PLAT PLAT PLAT PLAT
TrH2_TrispH2_006510-RA	Med23
TrH2_TrispH2_006511-RA	7tm_1
TrH2_TrispH2_006512-RA	7tm_1
TrH2_TrispH2_006513-RA	7tm_1
TrH2_TrispH2_006514-RA	START
TrH2_TrispH2_006515-RA	fn3 Pkinase_Tyr SAM_1
TrH2_TrispH2_006516-RA	RNase_P_p30
TrH2_TrispH2_006517-RA	DUF3990
TrH2_TrispH2_006518-RA	
TrH2_TrispH2_006519-RA	Ribosomal_L7Ae
TrH2_TrispH2_006520-RA	Mpv17_PMP22
TrH2_TrispH2_006521-RA	HMG_box
TrH2_TrispH2_006522-RA	7tm_1
TrH2_TrispH2_006523-RA	
TrH2_TrispH2_006524-RA	
TrH2_TrispH2_006525-RA	7tm_1 7tm_1
TrH2_TrispH2_006526-RA	7tm_1
TrH2_TrispH2_006527-RA	7tm_1
TrH2_TrispH2_006528-RA	
TrH2_TrispH2_006529-RA	
TrH2_TrispH2_006530-RA	
TrH2_TrispH2_006531-RA	Peptidase_M17
TrH2_TrispH2_006532-RA	Peptidase_M17
TrH2_TrispH2_006533-RA	MA3 MA3
TrH2_TrispH2_006534-RA	Polysacc_synt_4
TrH2_TrispH2_006535-RA	Beta-TrCP_D F-box-like WD40 WD40 WD40 WD40 WD40 WD40
TrH2_TrispH2_006536-RA	Enolase_N Enolase_C
TrH2_TrispH2_006537-RA	
TrH2_TrispH2_006538-RA	zf-nanos
TrH2_TrispH2_006539-RA	PX SH3_1 SH3_1
TrH2_TrispH2_006540-RA	DNA_pol_A
TrH2_TrispH2_006541-RA	
TrH2_TrispH2_006542-RA	WW WW FF FF FF FF FF FF
TrH2_TrispH2_006543-RA	BcrAD_BadFG
TrH2_TrispH2_006544-RA	RRM_1
TrH2_TrispH2_006545-RA	Kinesin
TrH2_TrispH2_006546-RA	TPMT TPMT
TrH2_TrispH2_006547-RA	TPMT
TrH2_TrispH2_006548-RA	Kinesin Kinesin
TrH2_TrispH2_006549-RA	Tcf25
TrH2_TrispH2_006550-RA	RRM_1 RRM_1 RRM_1
TrH2_TrispH2_006551-RA	LRR_8 LRRNT LRR_8 LRR_8 LRR_8 LRRNT LRR_8 LRR_8 EGF EGF Laminin_G_2
TrH2_TrispH2_006552-RA	zf-GRF N6-adenineMlase
TrH2_TrispH2_006553-RA	Torsin
TrH2_TrispH2_006554-RA	Anillin PH
TrH2_TrispH2_006555-RA	cNMP_binding cNMP_binding
TrH2_TrispH2_006556-RA	
TrH2_TrispH2_006557-RA	
TrH2_TrispH2_006558-RA	TUDOR TUDOR
TrH2_TrispH2_006559-RA	Macro PARP
TrH2_TrispH2_006560-RA	Macro PARP
TrH2_TrispH2_006561-RA	Macro
TrH2_TrispH2_006562-RA	Cupin_5
TrH2_TrispH2_006563-RA	RNase_T
TrH2_TrispH2_006564-RA	TPR_12 TPR_12 TPR_12
TrH2_TrispH2_006565-RA	CARD NB-ARC APAF1_C WD40 WD40 WD40 WD40 WD40 WD40
TrH2_TrispH2_006566-RA	NB-ARC TPR_12 TPR_12 TPR_10 TPR_12 TPR_12
TrH2_TrispH2_006567-RA	
TrH2_TrispH2_006568-RA	Sel1 Sel1 Sel1
TrH2_TrispH2_006569-RA	
TrH2_TrispH2_006570-RA	Syja_N hSac2
TrH2_TrispH2_006571-RA	
TrH2_TrispH2_006572-RA	FYVE
TrH2_TrispH2_006573-RA	Lectin_leg-like
TrH2_TrispH2_006574-RA	DUF2043 DUF2043
TrH2_TrispH2_006575-RA	
TrH2_TrispH2_006576-RA	HTH_Tnp_4 DDE_Tnp_4
TrH2_TrispH2_006577-RA	Sortilin-Vps10 Sortilin_C
TrH2_TrispH2_006578-RA	Med24_N
TrH2_TrispH2_006579-RA	EMP24_GP25L
TrH2_TrispH2_006580-RA	DUF842
TrH2_TrispH2_006581-RA	Aminotran_1_2
TrH2_TrispH2_006582-RA	7tm_1
TrH2_TrispH2_006583-RA	7tm_1
TrH2_TrispH2_006584-RA	7tm_1
TrH2_TrispH2_006585-RA	UBD ubiquitin
TrH2_TrispH2_006586-RA	Pkinase PKK PKK
TrH2_TrispH2_006587-RA	Nup84_Nup100
TrH2_TrispH2_006588-RA	adh_short_C2
TrH2_TrispH2_006589-RA	
TrH2_TrispH2_006590-RA	Trypsin_2 PDZ_6
TrH2_TrispH2_006591-RA	Glyco_hydro_59 Glyco_hydro_59M
TrH2_TrispH2_006592-RA	MAP65_ASE1
TrH2_TrispH2_006593-RA	Pkinase
TrH2_TrispH2_006594-RA	
TrH2_TrispH2_006595-RA	LRR_8
TrH2_TrispH2_006596-RA	
TrH2_TrispH2_006597-RA	COE1_DBD TIG COE1_HLH
TrH2_TrispH2_006598-RA	Rib_5-P_isom_A
TrH2_TrispH2_006599-RA	adh_short
TrH2_TrispH2_006600-RA	7tm_1
TrH2_TrispH2_006601-RA	TRAM_LAG1_CLN8
TrH2_TrispH2_006602-RA	7tm_1
TrH2_TrispH2_006603-RA	7tm_1
TrH2_TrispH2_006604-RA	
TrH2_TrispH2_006605-RA	7tm_1
TrH2_TrispH2_006606-RA	7tm_1
TrH2_TrispH2_006607-RA	7tm_1
TrH2_TrispH2_006608-RA	Sortilin-Vps10 Sortilin_C
TrH2_TrispH2_006609-RA	
TrH2_TrispH2_006610-RA	Sortilin-Vps10 Sortilin_C
TrH2_TrispH2_006611-RA	Sortilin-Vps10 Sortilin_C
TrH2_TrispH2_006612-RA	Sortilin-Vps10 Sortilin_C
TrH2_TrispH2_006613-RA	
TrH2_TrispH2_006614-RA	Cullin
TrH2_TrispH2_006615-RA	Ribosomal_L26 KOW
TrH2_TrispH2_006616-RA	
TrH2_TrispH2_006617-RA	Bromodomain
TrH2_TrispH2_006618-RA	7tm_1
TrH2_TrispH2_006619-RA	7tm_1
TrH2_TrispH2_006620-RA	7tm_1
TrH2_TrispH2_006621-RA	7tm_1
TrH2_TrispH2_006622-RA	NEMP
TrH2_TrispH2_006623-RA	ABC_tran ABC_membrane ABC_tran
TrH2_TrispH2_006624-RA	ABC_membrane ABC_tran ABC_membrane ABC_tran
TrH2_TrispH2_006625-RA	G-patch
TrH2_TrispH2_006626-RA	MTP18
TrH2_TrispH2_006627-RA	EBP
TrH2_TrispH2_006628-RA	
TrH2_TrispH2_006629-RA	CN_hydrolase
TrH2_TrispH2_006630-RA	Guanylate_cyc_2
TrH2_TrispH2_006631-RA	LSM
TrH2_TrispH2_006632-RA	PP2C
TrH2_TrispH2_006633-RA	Sas10_Utp3
TrH2_TrispH2_006634-RA	eIF-5_eIF-2B W2
TrH2_TrispH2_006635-RA	Na_Ca_ex Na_Ca_ex
TrH2_TrispH2_006636-RA	7tm_1
TrH2_TrispH2_006637-RA	MMR_HSR1 KH_2
TrH2_TrispH2_006638-RA	TMEM219
TrH2_TrispH2_006639-RA	Sec1
TrH2_TrispH2_006640-RA	zf-C3HC4_2 zf-TRAF
TrH2_TrispH2_006641-RA	
TrH2_TrispH2_006642-RA	zf-C3HC4 zf-TRAF
TrH2_TrispH2_006643-RA	UPF0203
TrH2_TrispH2_006644-RA	Aminotran_5
TrH2_TrispH2_006645-RA	MAM33
TrH2_TrispH2_006646-RA	Glu-tRNAGln
TrH2_TrispH2_006647-RA	PTR2
TrH2_TrispH2_006648-RA	WD40 WD40 WD40 WD40
TrH2_TrispH2_006649-RA	PIG-S
TrH2_TrispH2_006650-RA	F-box-like LRR_6
TrH2_TrispH2_006651-RA	PIG-L
TrH2_TrispH2_006652-RA	YdjC
TrH2_TrispH2_006653-RA	RUN PH_RBD RabGAP-TBC
TrH2_TrispH2_006654-RA	RNase_PH RNase_PH_C
TrH2_TrispH2_006655-RA	UDPGT
TrH2_TrispH2_006656-RA	FGGY_N FGGY_C
TrH2_TrispH2_006657-RA	
TrH2_TrispH2_006658-RA	DUF3767
TrH2_TrispH2_006659-RA	P2X_receptor
TrH2_TrispH2_006660-RA	DUF4042
TrH2_TrispH2_006661-RA	ACAS_N AMP-binding
TrH2_TrispH2_006662-RA	CIA30
TrH2_TrispH2_006663-RA	
TrH2_TrispH2_006664-RA	CUE
TrH2_TrispH2_006665-RA	
TrH2_TrispH2_006666-RA	adh_short
TrH2_TrispH2_006667-RA	adh_short
